Time(ms),Method,Roll,Pitch
2111.0,GYRO,0.371,24.697
2111.0,COMP,2.243,19.78
2121.0,ACCEL,2.205,19.159
2121.0,GYRO,0.368,24.7
2121.0,COMP,2.24,19.77
2132.0,ACCEL,2.241,19.229
2132.0,GYRO,0.368,24.705
2132.0,COMP,2.24,19.765
2141.0,ACCEL,2.14,19.275
2141.0,GYRO,0.37,24.708
2141.0,COMP,2.24,19.758
2151.0,ACCEL,2.215,19.141
2151.0,GYRO,0.369,24.708
2151.0,COMP,2.239,19.746
2161.0,ACCEL,2.194,18.95
2161.0,GYRO,0.369,24.711
2161.0,COMP,2.237,19.733
2171.0,ACCEL,2.47,19.227
2171.0,GYRO,0.367,24.713
2171.0,COMP,2.24,19.725
2181.0,ACCEL,2.243,19.286
2181.0,GYRO,0.364,24.717
2181.0,COMP,2.238,19.719
2191.0,ACCEL,2.18,19.151
2191.0,GYRO,0.361,24.715
2191.0,COMP,2.233,19.707
2201.0,ACCEL,2.202,19.225
2201.0,GYRO,0.359,24.712
2201.0,COMP,2.23,19.694
2211.0,ACCEL,2.415,19.269
2211.0,GYRO,0.358,24.707
2211.0,COMP,2.233,19.681
2221.0,ACCEL,2.151,18.968
2221.0,GYRO,0.358,24.715
2221.0,COMP,2.232,19.674
2231.0,ACCEL,2.217,19.152
2231.0,GYRO,0.357,24.726
2231.0,COMP,2.231,19.674
2241.0,ACCEL,2.216,19.168
2241.0,GYRO,0.357,24.734
2241.0,COMP,2.231,19.672
2251.0,ACCEL,2.236,19.498
2251.0,GYRO,0.354,24.736
2251.0,COMP,2.227,19.671
2261.0,ACCEL,2.352,19.203
2261.0,GYRO,0.35,24.734
2261.0,COMP,2.226,19.659
2271.0,ACCEL,2.19,19.205
2271.0,GYRO,0.343,24.731
2271.0,COMP,2.218,19.647
2281.0,ACCEL,2.1,19.108
2281.0,GYRO,0.339,24.737
2281.0,COMP,2.212,19.642
2291.0,ACCEL,2.295,19.281
2291.0,GYRO,0.339,24.749
2291.0,COMP,2.214,19.646
2302.0,ACCEL,2.259,19.237
2302.0,GYRO,0.338,24.759
2302.0,COMP,2.213,19.648
2311.0,ACCEL,2.296,19.279
2311.0,GYRO,0.337,24.764
2311.0,COMP,2.214,19.646
2321.0,ACCEL,2.373,19.105
2321.0,GYRO,0.332,24.766
2321.0,COMP,2.213,19.637
2331.0,ACCEL,2.294,19.299
2331.0,GYRO,0.329,24.764
2331.0,COMP,2.211,19.629
2341.0,ACCEL,2.135,19.088
2341.0,GYRO,0.326,24.763
2341.0,COMP,2.207,19.616
2351.0,ACCEL,2.465,19.375
2351.0,GYRO,0.324,24.762
2351.0,COMP,2.21,19.611
2361.0,ACCEL,2.15,19.213
2361.0,GYRO,0.32,24.764
2361.0,COMP,2.205,19.605
2371.0,ACCEL,2.166,19.177
2371.0,GYRO,0.321,24.767
2371.0,COMP,2.205,19.599
2381.0,ACCEL,2.205,19.101
2381.0,GYRO,0.32,24.768
2381.0,COMP,2.205,19.59
2391.0,ACCEL,2.217,19.273
2391.0,GYRO,0.32,24.769
2391.0,COMP,2.204,19.585
2401.0,ACCEL,2.486,19.105
2401.0,GYRO,0.318,24.766
2401.0,COMP,2.208,19.573
2411.0,ACCEL,1.921,19.103
2411.0,GYRO,0.314,24.768
2411.0,COMP,2.199,19.565
2421.0,ACCEL,2.248,19.06
2421.0,GYRO,0.309,24.773
